SensorID,Unit,Type,Description,Remark
OutSolHor,W/m²,c,Solar radiation horizontal,
OutPreAm,l/m²,c,Precipitation [Amount],
OutPreEv,0/1,e,Precipitation [Event],
OutIlluN,lux,c,Illuminance level North,
OutIlluE,lux,c,Illuminance level East,
OutIlluS,lux,c,Illuminance level South,
OutIlluW,lux,c,Illuminance level West,
OutIlluHor,lux,c,Illuminance level horizontal,
OutTair,°C,c,Outdoor temperature,
OutWindVel,m/s,c,Wind velocity,
OutWindDir,°,c,Wind direction,
OutCO2,ppm,c,Outdoor CO2-concentration,
OutRelHum,%,c,Outdoor relative humidity,
GenHeatPel,kWh,c,Heat quantity pellet boiler,
GenHeatGas,kWh,c,Heat quantity gas boiler,Only used for peak demands
GenElTr1,MWh,c,Electricity demand Trafo 1,The sum of Trafo 1 and 2 is the total demand of the building
GenElTr2,MWh,c,Electricity demand Trafo 2,
GenElCool,kWh,c,Electricity demand cooling,
E01Occ,0/1,e,Occupancy E01,
E01SP,%,e,Position sun protection E01,
E01Tair,°C,c,Air temperature E01,
E01W,0/1,e,Position window E01,
E01WT,0/1,e,Position top light window E01,
E02Occ,0/1,e,Occupancy E02,
E02SP,%,e,Position sun protection E02,
E02Tair,°C,c,Air temperature E02,
E02W,0/1,e,Position window E02,
E02WT,0/1,e,Position top light window E02,
E03Occ,0/1,e,Occupancy E03,
E03SP,%,e,Position sun protection E03,
E03Tair,°C,c,Air temperature E03,
E03W,0/1,e,Position window E03,
E03WT,0/1,e,Position top light window E03,
E04CO2,ppm,c,CO2 concentration E04,
E04Occ,0/1,e,Occupancy E04,
E04SP,%,e,Position sun protection E04,
E04Tair,°C,c,Air temperature E04,
E04W,0/1,e,Position window E04,
E04WT,0/1,e,Position top light window E04,
E05Occ,0/1,e,Occupancy E05,
E05SP,%,e,Position sun protection E05,
E05Tair,°C,c,Air temperature E05,
E05W,0/1,e,Position window E05,
E05WT,0/1,e,Position top light window E05,
E06ElL,kWh,c,Electricity demand lighting E06/Ex,Ex means including a second room
E06ElPIT,kWh,c,Electricity demand plugs IT E06/Ex,Ex means including a second room
E06ElPo,kWh,c,Electricity demand plugs other E06/Ex,Ex means including a second room
E06Occ,0/1,e,Occupancy E06,
E06SP,%,e,Position sun protection E06,
E06Tair,°C,c,Air temperature E06,
E06W,0/1,e,Position window E06,
E06WT,0/1,e,Position top light window E06,
E07CO2,ppm,c,CO2 concentration E07,
E07ElL,kWh,c,Electricity demand lighting E07,
E07ElPIT,kWh,c,Electricity demand plugs IT E07,
E07ElPo,kWh,c,Electricity demand plugs other E07,
E07Occ,0/1,e,Occupancy E07,
E07SP,%,e,Position sun protection E07,
E07Tair,°C,c,Air temperature E07,
E07W,0/1,e,Position window E07,
E07WT,0/1,e,Position top light window E07,
E08Occ,0/1,e,Occupancy E08,
E08SP,%,e,Position sun protection E08,
E08Tair,°C,c,Air temperature E08,
E08W,0/1,e,Position window E08,
E08WT,0/1,e,Position top light window E08,
E09Occ,0/1,e,Occupancy E09,
E09SP,%,e,Position sun protection E09,
E09Tair,°C,c,Air temperature E09,
E09W,0/1,e,Position window E09,
E09WT,0/1,e,Position top light window E09,
E10Occ,0/1,e,Occupancy E10,
E10SP,%,e,Position sun protection E10,
E10Tair,°C,c,Air temperature E10,
E10W,0/1,e,Position window E10,
E10WT,0/1,e,Position top light window E10,
E11Occ,0/1,e,Occupancy E11,
E11SP,%,e,Position sun protection E11,
E11Tair,°C,c,Air temperature E11,
E11W,0/1,e,Position window E11,
E11WT,0/1,e,Position top light window E11,
W01ElL,kWh,c,Electricity demand lighting W01 /Wx,Wx means including a second room
W01ElP,kWh,c,Electricity demand plugs W01,
W01Occ,0/1,e,Occupancy W01,
W01SP,%,e,Position sun protection W01,
W01Tair,°C,c,Air temperature W01,
W01W,0/1,e,Position window W01,
W01WT,0/1,e,Position top light window W01,
W02Occ,0/1,e,Occupancy W02,
W02SP,%,e,Position sun protection W02,
W02Tair,°C,c,Air temperature W02,
W02W,0/1,e,Position window W02,
W02WT,0/1,e,Position top light window W02,
W03Occ,0/1,e,Occupancy W03,
W03SP,%,e,Position sun protection W03,
W03Tair,°C,c,Air temperature W03,
W03W,0/1,e,Position window W03,
W03WT,0/1,e,Position top light window W03,
W04Occ,0/1,e,Occupancy W04,
W04SP,%,e,Position sun protection W04,
W04Tair,°C,c,Air temperature W04,
W04W,0/1,e,Position window W04,
W04WT,0/1,e,Position top light window W04,
W05CO2,ppm,c,CO2 concentration W05,
W05ElPIT,kWh,c,Electricity demand plugs IT W05,
W05ElPo,kWh,c,Electricity demand plugs other W05,
W05Occ,0/1,e,Occupancy W05,
W05SP,%,e,Position sun protection W05,
W05Tair,°C,c,Air temperature W05,
W05W,0/1,e,Position window W05,
W05WT,0/1,e,Position top light window W05,
W06Occ,0/1,e,Occupancy W06,
W06SP,%,e,Position sun protection W06,
W06Tair,°C,c,Air temperature W06,
W06W,0/1,e,Position window W06,
W06WT,0/1,e,Position top light window W06,
